n,runtime_ms,comparisons,n_log_n,n_squared
100,0.0338,126,664.386,10000
150,0.0566,177,1084.32,22500
225,0.0794,269,1758.1,50625
337,0.1232,428,2829.66,113569
505,0.198,552,4534.97,255025
757,0.2824,1032,7240.06,573049
1135,0.4802,1347,11518.5,1.28822e+06
1702,0.6762,2206,18267.6,2.8968e+06
2553,1.0992,3309,28894.8,6.51781e+06
3829,1.6654,4575,45575.6,1.46612e+07
5743,2.4826,7958,71716.2,3.2982e+07
8614,4.0124,10229,112606,7.4201e+07
12921,5.7154,17755,176468,1.66952e+08
19381,9.4658,24864,276031,3.75623e+08
29071,13.8104,36770,431044,8.45123e+08
43606,21.2594,59596,672066,1.90148e+09
